"","A","S","E","O","R","T"
"2488","young","M","uni","emp","big","other"
"2489","adult","F","uni","emp","small","train"
"2490","young","F","high","emp","big","other"
"2491","young","M","uni","emp","big","car"
"2492","old","F","uni","self","big","car"
"2493","young","M","high","emp","small","train"
"2494","adult","F","high","emp","big","other"
"2495","adult","F","high","emp","small","car"
"2496","old","M","high","emp","big","car"
"2497","adult","M","uni","emp","big","car"
"2498","adult","M","high","emp","big","car"
"2499","young","F","uni","emp","big","car"
"2500","young","M","high","emp","big","other"
"2501","adult","F","high","emp","big","car"
"2502","young","F","high","emp","small","car"
"2503","adult","M","uni","emp","big","car"
"2504","young","M","uni","emp","big","other"
"2505","young","F","high","emp","big","train"
"2506","adult","M","high","emp","small","car"
"2507","young","F","uni","emp","big","other"
"2508","old","F","high","emp","small","car"
"2509","adult","M","high","emp","big","car"
"2510","adult","F","high","emp","big","train"
"2511","adult","M","uni","emp","big","other"
"2512","old","F","high","emp","small","train"
"2513","young","F","uni","emp","big","car"
"2514","young","F","uni","emp","big","car"
"2515","old","M","high","emp","small","car"
"2516","old","F","uni","emp","big","other"
"2517","old","F","uni","emp","big","train"
"2518","adult","F","high","emp","small","car"
"2519","adult","F","high","emp","big","car"
"2520","old","M","high","emp","small","car"
"2521","adult","M","high","emp","big","train"
"2522","adult","F","high","emp","small","car"
"2523","adult","M","uni","emp","big","train"
"2524","adult","M","high","emp","big","train"
"2525","adult","M","high","emp","big","car"
"2526","young","F","high","emp","big","other"
"2527","adult","M","high","emp","big","car"
"2528","adult","M","high","emp","big","car"
"2529","young","F","high","emp","big","car"
"2530","young","M","high","emp","small","car"
"2531","adult","M","high","emp","small","car"
"2532","young","F","high","emp","big","train"
"2533","adult","M","uni","emp","small","car"
"2534","young","M","high","emp","big","car"
"2535","young","F","high","emp","small","train"
"2536","adult","F","high","emp","big","car"
"2537","young","F","high","emp","small","car"
"2538","young","M","uni","emp","big","car"
"2539","adult","F","high","emp","big","car"
"2540","young","F","uni","emp","small","car"
"2541","young","M","high","emp","big","train"
"2542","adult","F","high","emp","small","car"
"2543","old","M","high","emp","big","other"
"2544","adult","M","high","emp","big","car"
"2545","adult","F","uni","emp","big","car"
"2546","young","M","uni","emp","big","car"
"2547","adult","F","high","emp","small","car"
"2548","young","M","high","emp","small","train"
"2549","young","F","high","emp","big","other"
"2550","young","M","high","emp","big","train"
"2551","old","M","high","emp","small","train"
"2552","young","M","high","emp","small","car"
"2553","young","M","high","emp","big","other"
"2554","adult","F","uni","self","small","train"
"2555","old","M","high","emp","big","car"
"2556","young","M","high","emp","small","train"
"2557","old","M","high","emp","big","car"
"2558","old","M","high","emp","big","car"
"2559","young","M","high","emp","big","car"
"2560","adult","F","high","emp","big","car"
"2561","young","F","uni","emp","big","car"
"2562","young","F","high","emp","big","train"
"2563","adult","F","uni","emp","big","car"
"2564","old","F","high","emp","small","train"
"2565","young","F","high","emp","big","car"
"2566","young","M","high","emp","small","car"
"2567","young","M","uni","emp","small","car"
"2568","adult","M","high","emp","big","car"
"2569","old","F","high","emp","big","train"
"2570","young","M","uni","emp","big","car"
"2571","adult","F","high","emp","big","car"
"2572","young","F","uni","emp","small","car"
"2573","young","M","high","emp","big","other"
"2574","adult","F","uni","emp","big","car"
"2575","adult","F","uni","emp","big","car"
"2576","adult","M","high","emp","small","car"
"2577","young","M","high","emp","big","train"
"2578","young","M","uni","emp","big","car"
"2579","young","F","high","emp","big","train"
"2580","young","F","high","emp","big","other"
"2581","adult","F","uni","emp","big","car"
"2582","old","F","high","emp","big","car"
"2583","adult","M","high","emp","big","other"
"2584","young","F","high","emp","big","car"
"2585","old","F","uni","emp","small","train"
"2586","adult","M","uni","emp","big","train"
"2587","old","M","high","emp","big","train"
"2588","adult","F","high","emp","big","car"
"2589","adult","M","high","emp","big","car"
"2590","young","F","uni","emp","big","train"
"2591","young","M","high","emp","big","car"
"2592","adult","M","uni","emp","big","car"
"2593","young","M","uni","emp","small","car"
"2594","adult","F","high","emp","big","other"
"2595","old","F","high","emp","big","train"
"2596","adult","F","high","emp","big","train"
"2597","young","M","high","self","big","car"
"2598","old","F","high","emp","big","car"
"2599","young","F","high","emp","big","car"
"2600","young","F","high","emp","big","other"
"2601","adult","M","high","emp","big","other"
"2602","adult","F","high","emp","big","car"
"2603","adult","F","high","emp","big","train"
"2604","adult","M","high","emp","big","train"
"2605","young","M","high","emp","big","train"
"2606","adult","M","high","emp","big","train"
"2607","adult","M","high","emp","small","car"
"2608","old","M","high","emp","small","car"
"2609","old","M","high","emp","small","car"
"2610","adult","F","high","emp","small","train"
"2611","adult","M","high","emp","big","car"
"2612","adult","M","high","emp","big","car"
"2613","young","M","uni","emp","big","train"
"2614","young","F","high","emp","small","other"
"2615","adult","F","high","emp","big","other"
"2616","adult","M","uni","emp","small","train"
"2617","old","M","high","emp","big","car"
"2618","young","M","high","emp","big","car"
"2619","adult","M","high","emp","big","train"
"2620","adult","M","high","emp","big","car"
"2621","young","M","high","emp","big","car"
"2622","young","M","high","emp","big","train"
"2623","adult","M","uni","emp","big","car"
"2624","adult","M","high","emp","big","car"
"2625","adult","M","high","emp","big","car"
"2626","young","M","high","emp","big","car"
"2627","adult","M","uni","emp","big","train"
"2628","adult","F","high","emp","small","car"
"2629","young","M","high","emp","big","car"
"2630","adult","F","high","emp","small","train"
"2631","adult","M","uni","emp","big","train"
"2632","adult","F","uni","emp","small","train"
"2633","young","F","uni","emp","big","train"
"2634","young","M","uni","emp","small","car"
"2635","adult","F","high","emp","small","car"
"2636","adult","F","high","emp","big","train"
"2637","young","M","high","emp","small","train"
"2638","old","M","high","emp","big","other"
"2639","old","M","high","emp","big","train"
"2640","young","M","high","emp","big","train"
"2641","old","M","high","emp","big","other"
"2642","adult","F","high","emp","big","car"
"2643","young","M","high","emp","big","car"
"2644","adult","F","uni","emp","big","train"
"2645","old","M","high","emp","big","car"
"2646","adult","M","high","emp","big","car"
"2647","adult","F","high","emp","big","car"
"2648","old","M","high","emp","big","car"
"2649","adult","M","high","emp","big","car"
"2650","adult","F","high","emp","small","train"
"2651","old","M","high","emp","big","car"
"2652","adult","M","high","emp","big","car"
"2653","young","F","high","emp","big","car"
"2654","adult","M","high","emp","big","train"
"2655","young","M","uni","emp","big","car"
"2656","adult","F","high","emp","big","car"
"2657","young","F","high","emp","big","car"
"2658","adult","M","high","emp","small","car"
"2659","young","F","uni","emp","big","car"
"2660","old","M","high","emp","small","other"
"2661","adult","F","high","emp","big","train"
"2662","young","M","high","emp","small","car"
"2663","young","F","high","emp","small","car"
"2664","adult","F","high","emp","big","car"
"2665","adult","M","high","emp","big","car"
"2666","old","F","high","emp","big","train"
"2667","old","M","high","emp","small","train"
"2668","young","M","high","emp","big","other"
"2669","old","M","high","emp","small","car"
"2670","young","F","uni","emp","big","train"
"2671","young","M","high","emp","small","car"
"2672","adult","F","high","emp","big","train"
"2673","adult","M","uni","emp","big","train"
"2674","old","M","high","emp","big","train"
"2675","young","M","high","emp","small","car"
"2676","adult","M","high","emp","big","car"
"2677","young","M","high","emp","big","other"
"2678","young","M","high","emp","small","train"
"2679","adult","M","uni","emp","big","car"
"2680","old","M","high","emp","small","other"
"2681","adult","F","high","self","big","other"
"2682","adult","M","high","emp","big","train"
"2683","adult","M","high","emp","small","car"
"2684","old","F","high","emp","big","other"
"2685","old","M","high","self","big","car"
"2686","adult","M","uni","emp","small","car"
"2687","young","M","high","emp","big","car"
"2688","adult","M","high","emp","big","car"
"2689","young","F","high","emp","big","train"
"2690","young","M","high","emp","big","car"
"2691","old","F","uni","emp","small","train"
"2692","young","M","uni","emp","big","car"
"2693","adult","M","high","emp","small","train"
"2694","young","F","uni","emp","big","car"
"2695","adult","M","uni","emp","small","car"
"2696","old","M","high","emp","big","car"
"2697","adult","M","high","emp","big","train"
"2698","adult","M","high","emp","big","car"
"2699","young","F","high","emp","big","train"
"2700","adult","F","high","emp","big","car"
"2701","adult","M","uni","emp","big","car"
"2702","old","F","high","emp","big","train"
"2703","young","M","uni","emp","big","train"
"2704","old","M","high","emp","big","car"
"2705","adult","F","high","emp","small","other"
"2706","adult","M","high","emp","big","car"
"2707","young","M","high","emp","big","car"
"2708","adult","M","high","emp","big","car"
"2709","adult","M","high","emp","big","car"
"2710","adult","F","high","emp","big","other"
"2711","adult","F","high","self","big","car"
"2712","adult","M","uni","emp","big","car"
"2713","young","M","high","emp","big","train"
"2714","young","M","uni","emp","big","car"
"2715","old","M","uni","emp","big","car"
"2716","adult","M","uni","emp","small","train"
"2717","young","F","high","emp","big","train"
"2718","adult","M","high","emp","big","car"
"2719","adult","M","high","emp","small","train"
"2720","old","M","high","emp","small","train"
"2721","young","F","high","emp","big","car"
"2722","old","F","high","emp","big","car"
"2723","adult","F","uni","emp","big","car"
"2724","old","M","high","emp","big","car"
"2725","young","M","high","emp","big","train"
"2726","adult","M","uni","emp","big","other"
"2727","old","M","high","emp","big","car"
"2728","young","F","high","emp","big","other"
"2729","old","M","high","emp","big","car"
"2730","old","M","uni","emp","big","car"
"2731","adult","F","uni","emp","big","train"
"2732","adult","F","high","emp","big","car"
"2733","old","M","high","emp","big","train"
"2734","young","F","high","emp","small","train"
"2735","old","M","high","emp","big","car"
"2736","adult","M","high","emp","small","train"
"2737","young","F","uni","emp","small","car"
"2738","adult","F","high","emp","small","train"
"2739","adult","M","high","self","big","car"
"2740","adult","M","high","emp","big","other"
"2741","young","M","high","emp","big","other"
"2742","young","F","uni","emp","big","other"
"2743","adult","F","high","emp","small","car"
"2744","adult","M","uni","self","big","train"
"2745","young","M","high","emp","big","train"
"2746","young","M","high","emp","big","car"
"2747","old","M","high","emp","small","car"
"2748","young","M","high","emp","big","train"
"2749","young","M","high","emp","big","car"
"2750","adult","M","high","emp","big","car"
"2751","old","F","uni","emp","small","car"
"2752","old","M","high","emp","small","train"
"2753","adult","M","high","emp","big","car"
"2754","old","F","high","self","small","car"
"2755","young","M","high","emp","big","car"
"2756","adult","F","high","emp","big","car"
"2757","adult","M","high","emp","big","car"
"2758","old","M","high","emp","big","train"
"2759","young","F","high","emp","big","train"
"2760","adult","M","uni","emp","big","car"
"2761","adult","M","high","emp","big","car"
"2762","young","F","high","emp","big","train"
"2763","young","M","high","emp","big","train"
"2764","adult","M","high","emp","big","train"
"2765","adult","F","uni","emp","small","other"
"2766","old","M","high","self","big","car"
"2767","adult","M","high","emp","big","car"
"2768","adult","M","uni","emp","big","car"
"2769","old","M","high","emp","small","train"
"2770","young","M","uni","emp","big","car"
"2771","young","F","high","emp","big","train"
"2772","old","M","high","emp","small","train"
"2773","old","F","high","emp","big","car"
"2774","young","F","uni","emp","big","train"
"2775","adult","F","uni","emp","big","car"
"2776","adult","M","high","emp","big","other"
"2777","adult","M","high","emp","big","car"
"2778","old","M","high","emp","big","other"
"2779","adult","M","high","emp","big","other"
"2780","adult","F","high","emp","small","other"
"2781","old","M","high","emp","big","car"
"2782","young","M","uni","emp","big","car"
"2783","adult","F","high","self","big","car"
"2784","old","M","uni","emp","big","car"
"2785","adult","M","high","emp","big","car"
"2786","adult","M","uni","emp","big","car"
"2787","young","M","high","emp","big","train"
"2788","old","F","high","emp","big","other"
"2789","adult","M","high","emp","big","car"
"2790","old","M","high","emp","big","car"
"2791","old","F","high","emp","big","car"
"2792","adult","M","high","emp","big","train"
"2793","young","M","high","emp","small","car"
"2794","old","M","high","emp","big","car"
"2795","old","M","uni","emp","big","other"
"2796","old","M","uni","emp","big","car"
"2797","adult","M","high","emp","big","car"
"2798","young","M","high","emp","big","car"
"2799","adult","M","high","emp","big","car"
"2800","young","M","uni","emp","small","car"
"2801","adult","M","high","emp","small","car"
"2802","young","F","high","emp","big","car"
"2803","old","F","high","emp","big","other"
"2804","young","M","high","emp","big","car"
"2805","adult","F","high","emp","small","car"
"2806","old","F","uni","emp","big","train"
"2807","young","F","high","emp","big","car"
"2808","young","M","high","emp","big","car"
"2809","adult","M","uni","emp","big","train"
"2810","young","F","uni","emp","small","car"
"2811","adult","M","high","emp","big","car"
"2812","adult","M","high","emp","big","other"
"2813","young","M","high","self","big","train"
"2814","young","M","uni","emp","small","car"
"2815","adult","M","high","emp","small","train"
"2816","adult","M","high","emp","big","train"
"2817","adult","F","high","emp","small","other"
"2818","adult","F","uni","emp","big","car"
"2819","old","F","high","emp","big","car"
"2820","old","M","high","emp","small","car"
"2821","adult","M","high","emp","big","car"
"2822","adult","F","high","emp","big","other"
"2823","young","F","high","emp","big","car"
"2824","adult","M","high","emp","small","other"
"2825","young","M","high","self","big","car"
"2826","young","F","uni","emp","big","car"
"2827","old","M","high","emp","big","car"
"2828","old","F","high","emp","big","train"
"2829","old","M","high","emp","big","train"
"2830","adult","F","uni","emp","big","other"
"2831","adult","M","uni","emp","big","train"
"2832","adult","M","high","emp","big","car"
"2833","old","F","high","emp","big","car"
"2834","young","M","high","emp","big","car"
"2835","old","M","high","self","big","train"
"2836","adult","F","high","emp","big","car"
"2837","adult","M","uni","emp","small","car"
"2838","young","M","high","emp","big","other"
"2839","adult","M","high","emp","small","car"
"2840","young","M","high","emp","big","train"
"2841","adult","M","uni","emp","big","other"
"2842","adult","M","uni","emp","big","train"
"2843","adult","M","high","emp","big","other"
"2844","old","M","high","self","big","other"
"2845","adult","F","high","emp","big","train"
"2846","young","M","high","emp","big","train"
"2847","old","M","high","emp","big","car"
"2848","old","F","high","emp","big","train"
"2849","young","M","high","emp","big","train"
"2850","adult","F","uni","emp","small","train"
"2851","old","M","high","emp","big","car"
"2852","adult","M","high","emp","big","car"
"2853","adult","M","uni","emp","big","other"
"2854","adult","F","uni","emp","small","other"
"2855","adult","F","high","emp","big","car"
"2856","adult","F","uni","emp","big","train"
"2857","adult","M","uni","emp","big","car"
"2858","adult","F","uni","emp","big","other"
"2859","adult","M","high","emp","small","train"
"2860","young","M","high","emp","big","train"
"2861","young","M","uni","emp","big","other"
"2862","young","F","high","emp","big","car"
"2863","old","F","high","emp","big","other"
"2864","old","M","high","emp","big","train"
"2865","adult","M","high","emp","big","car"
"2866","young","M","uni","emp","big","car"
"2867","adult","F","uni","emp","big","train"
"2868","adult","M","high","emp","big","train"
"2869","young","M","high","emp","small","train"
"2870","adult","F","high","emp","big","car"
"2871","young","M","uni","emp","big","car"
"2872","adult","F","high","emp","big","car"
"2873","adult","M","high","emp","big","other"
"2874","old","M","high","emp","big","car"
"2875","adult","M","uni","emp","big","car"
"2876","adult","F","high","emp","small","train"
"2877","young","F","high","emp","big","car"
"2878","adult","M","high","emp","small","car"
"2879","adult","F","high","emp","big","car"
"2880","adult","F","high","emp","small","train"
"2881","adult","M","high","emp","small","car"
"2882","young","F","high","emp","big","other"
"2883","young","M","high","emp","small","train"
"2884","adult","F","high","self","small","car"
"2885","young","F","high","emp","big","car"
"2886","old","M","high","emp","small","car"
"2887","old","M","high","emp","small","train"
"2888","young","M","high","emp","big","train"
"2889","young","F","high","emp","big","car"
"2890","adult","M","uni","emp","big","car"
"2891","young","M","uni","emp","big","car"
"2892","adult","M","high","emp","big","train"
"2893","young","M","high","emp","big","car"
"2894","adult","M","high","emp","big","other"
"2895","adult","F","uni","emp","big","car"
"2896","old","M","high","emp","small","car"
"2897","adult","M","uni","emp","big","car"
"2898","adult","M","high","emp","big","car"
"2899","young","M","high","emp","small","car"
"2900","adult","F","high","emp","big","car"
"2901","adult","F","uni","emp","big","train"
"2902","young","F","high","self","big","train"
"2903","old","M","high","emp","big","car"
"2904","adult","M","high","self","big","train"
"2905","old","M","high","emp","big","car"
"2906","adult","M","high","emp","big","car"
"2907","old","M","high","emp","big","train"
"2908","adult","M","high","emp","small","other"
"2909","old","F","high","self","big","car"
"2910","old","F","high","emp","small","train"
"2911","adult","F","high","emp","big","train"
"2912","old","M","high","emp","big","other"
"2913","adult","M","high","emp","big","car"
"2914","old","M","high","emp","small","train"
"2915","old","M","high","emp","big","car"
"2916","adult","F","high","emp","big","car"
"2917","young","M","high","emp","small","car"
"2918","old","F","high","emp","small","car"
"2919","adult","F","high","emp","big","train"
"2920","young","F","uni","emp","big","car"
"2921","adult","F","high","emp","big","other"
"2922","young","F","high","emp","small","car"
"2923","young","M","high","emp","big","car"
"2924","young","F","high","emp","small","train"
"2925","adult","F","uni","emp","big","train"
"2926","young","M","high","emp","big","car"
"2927","old","M","high","emp","big","car"
"2928","adult","M","high","emp","small","car"
"2929","adult","F","uni","emp","small","train"
"2930","adult","M","uni","emp","big","car"
"2931","old","M","high","emp","big","car"
"2932","adult","M","high","emp","big","train"
"2933","adult","F","high","emp","big","car"
"2934","young","M","high","emp","big","car"
"2935","adult","M","high","emp","big","train"
"2936","young","M","high","emp","big","car"
"2937","young","M","high","self","big","train"
"2938","old","M","high","emp","big","other"
"2939","old","M","high","emp","big","car"
"2940","adult","M","uni","emp","big","other"
"2941","young","M","high","emp","big","train"
"2942","young","F","high","emp","big","car"
"2943","adult","M","high","emp","big","car"
"2944","adult","M","uni","emp","big","car"
"2945","adult","M","high","emp","big","car"
"2946","old","M","high","emp","small","car"
"2947","young","M","high","emp","small","train"
"2948","adult","F","high","emp","big","car"
"2949","young","M","high","emp","big","car"
"2950","old","F","uni","emp","big","car"
"2951","adult","M","uni","emp","big","car"
"2952","adult","M","uni","emp","big","train"
"2953","old","M","high","emp","small","car"
"2954","young","M","uni","emp","big","car"
"2955","old","F","high","emp","small","train"
"2956","old","M","high","emp","small","other"
"2957","adult","F","high","emp","big","other"
"2958","adult","M","high","emp","small","car"
"2959","adult","F","high","emp","big","car"
"2960","adult","M","high","emp","small","train"
"2961","adult","M","high","emp","big","train"
"2962","old","M","high","emp","big","car"
"2963","young","M","high","emp","big","car"
"2964","young","M","uni","emp","big","car"
"2965","young","M","high","emp","big","car"
"2966","adult","M","uni","emp","big","car"
"2967","adult","F","high","emp","small","car"
"2968","old","M","high","emp","small","car"
"2969","adult","M","high","emp","big","car"
"2970","old","F","uni","emp","big","car"
"2971","young","M","high","emp","big","car"
"2972","adult","M","uni","emp","big","car"
"2973","adult","F","high","emp","big","train"
"2974","adult","M","high","emp","big","train"
"2975","adult","F","uni","emp","small","car"
"2976","young","M","uni","emp","small","train"
"2977","old","F","high","emp","big","car"
"2978","adult","M","uni","emp","big","car"
"2979","adult","M","uni","emp","big","car"
"2980","adult","F","uni","emp","big","car"
"2981","old","M","uni","emp","big","train"
"2982","adult","M","uni","emp","big","train"
"2983","adult","M","uni","emp","big","car"
"2984","young","F","high","emp","small","train"
"2985","young","F","high","emp","big","car"
"2986","young","F","high","emp","small","train"
"2987","old","M","high","emp","big","car"
"2988","adult","M","high","self","big","car"
"2989","young","F","uni","emp","big","train"
"2990","adult","F","uni","emp","big","other"
"2991","adult","M","uni","self","big","car"
"2992","young","M","high","emp","big","other"
"2993","adult","F","high","emp","big","train"
"2994","adult","F","high","emp","small","car"
"2995","old","F","high","emp","small","train"
"2996","adult","F","uni","emp","big","car"
"2997","adult","M","high","emp","big","other"
"2998","young","F","high","emp","big","car"
"2999","adult","F","high","emp","big","car"
"3000","young","F","high","emp","big","other"
"3001","adult","F","high","emp","small","car"
"3002","young","F","high","emp","big","car"
"3003","old","M","high","emp","big","train"
"3004","adult","F","high","emp","big","train"
"3005","adult","M","uni","emp","big","other"
"3006","old","M","uni","self","big","car"
"3007","adult","M","high","emp","big","car"
"3008","adult","M","high","emp","big","car"
"3009","young","F","uni","emp","big","car"
"3010","adult","M","uni","emp","big","car"
"3011","adult","M","high","emp","big","other"
"3012","old","M","high","emp","small","car"
"3013","adult","F","high","emp","big","car"
"3014","old","F","high","self","big","other"
"3015","young","F","high","emp","big","car"
"3016","adult","M","uni","self","big","car"
"3017","young","M","high","self","big","car"
"3018","young","F","high","emp","big","other"
"3019","old","F","high","emp","big","car"
"3020","young","M","uni","emp","big","other"
"3021","old","M","high","emp","small","car"
"3022","adult","M","high","emp","big","car"
"3023","adult","M","high","emp","big","car"
"3024","young","M","uni","emp","big","car"
"3025","old","M","high","emp","big","car"
"3026","adult","M","uni","emp","big","car"
"3027","adult","M","high","emp","big","train"
"3028","adult","M","high","emp","big","car"
"3029","young","F","high","emp","big","car"
"3030","young","M","high","emp","small","train"
"3031","adult","F","high","emp","small","car"
"3032","young","M","uni","emp","big","train"
"3033","old","M","high","emp","small","train"
"3034","adult","F","high","emp","big","car"
"3035","old","M","high","emp","big","train"
"3036","young","M","high","emp","big","car"
"3037","adult","M","high","emp","big","car"
"3038","adult","M","high","emp","big","car"
"3039","adult","M","high","emp","small","car"
"3040","old","F","high","emp","small","car"
"3041","adult","F","high","emp","big","other"
"3042","adult","F","uni","emp","big","other"
"3043","old","F","high","emp","big","car"
"3044","adult","F","high","emp","big","car"
"3045","adult","M","uni","self","small","car"
"3046","young","F","uni","emp","big","car"
"3047","adult","M","high","emp","big","car"
"3048","young","M","high","emp","big","other"
"3049","adult","M","high","emp","big","train"
"3050","young","M","high","emp","small","car"
"3051","old","M","high","emp","big","car"
"3052","young","M","high","emp","big","other"
"3053","old","F","high","emp","big","car"
"3054","adult","M","uni","emp","small","other"
"3055","young","F","high","emp","big","other"
"3056","adult","M","high","emp","small","train"
"3057","old","F","high","emp","big","car"
"3058","adult","F","high","emp","big","train"
"3059","old","F","high","emp","big","other"
"3060","young","M","high","emp","small","car"
"3061","old","M","high","emp","big","car"
"3062","adult","M","high","emp","small","train"
"3063","old","F","high","emp","small","car"
"3064","young","F","high","emp","big","car"
"3065","adult","M","high","emp","small","car"
"3066","young","M","high","emp","big","other"
"3067","young","M","high","emp","small","car"
"3068","old","M","high","emp","big","other"
"3069","young","F","uni","emp","big","train"
"3070","young","F","high","emp","big","car"
"3071","adult","M","uni","emp","small","train"
"3072","adult","F","uni","emp","small","train"
"3073","young","F","uni","emp","small","car"
"3074","adult","M","high","emp","big","other"
"3075","adult","F","uni","emp","big","other"
"3076","young","M","high","emp","big","car"
"3077","old","M","high","emp","big","other"
"3078","adult","M","high","emp","big","car"
"3079","old","F","high","emp","big","car"
"3080","young","F","uni","emp","big","other"
"3081","young","F","uni","emp","big","car"
"3082","old","M","uni","emp","big","train"
"3083","adult","M","high","emp","big","train"
"3084","old","M","high","emp","small","car"
"3085","old","M","high","emp","small","car"
"3086","adult","F","high","emp","small","car"
"3087","young","F","high","emp","big","train"
"3088","adult","F","uni","emp","big","car"
"3089","young","M","high","emp","big","car"
"3090","adult","F","uni","emp","small","car"
"3091","young","M","high","emp","big","train"
"3092","old","M","high","emp","small","car"
"3093","young","M","high","emp","big","train"
"3094","adult","F","high","emp","small","car"
"3095","old","M","uni","emp","big","car"
"3096","adult","F","high","emp","big","car"
"3097","young","M","uni","emp","small","car"
"3098","young","M","high","emp","big","car"
"3099","young","F","high","emp","big","car"
"3100","old","F","high","emp","big","car"
"3101","adult","F","uni","emp","big","car"
"3102","young","M","high","emp","small","car"
"3103","young","M","high","emp","big","train"
"3104","young","F","high","emp","big","train"
"3105","adult","F","uni","emp","big","car"
"3106","old","F","high","emp","big","car"
"3107","young","M","high","emp","big","train"
"3108","adult","M","high","emp","big","car"
"3109","adult","M","uni","emp","big","car"
"3110","young","M","high","emp","big","car"
"3111","adult","M","high","emp","big","other"
"3112","young","M","high","emp","small","other"
"3113","adult","M","uni","emp","small","train"
"3114","young","M","uni","emp","big","car"
"3115","young","M","high","emp","big","train"
"3116","adult","M","high","emp","big","other"
"3117","adult","M","high","emp","big","train"
"3118","adult","F","high","emp","big","car"
"3119","old","M","high","emp","big","car"
"3120","old","M","high","emp","big","car"
"3121","young","M","high","emp","big","train"
"3122","young","M","high","emp","big","car"
"3123","young","M","high","emp","big","car"
"3124","adult","M","high","emp","big","car"
"3125","young","M","uni","self","big","car"
"3126","young","F","high","emp","big","car"
"3127","young","M","high","emp","small","car"
"3128","adult","F","uni","emp","big","car"
"3129","adult","F","uni","emp","big","other"
"3130","young","M","high","emp","big","car"
"3131","adult","F","high","emp","big","other"
"3132","adult","F","uni","emp","big","train"
"3133","young","M","high","emp","small","car"
"3134","old","M","high","emp","big","car"
"3135","adult","M","uni","emp","big","car"
"3136","adult","F","high","emp","big","car"
"3137","adult","M","uni","emp","small","train"
"3138","young","M","high","emp","big","other"
"3139","young","M","high","emp","small","car"
"3140","young","M","high","self","big","train"
"3141","adult","F","high","emp","small","train"
"3142","adult","M","high","emp","big","train"
"3143","young","F","high","emp","big","car"
"3144","adult","F","high","emp","small","train"
"3145","young","F","high","emp","big","car"
"3146","young","M","high","emp","big","car"
"3147","adult","F","uni","emp","big","car"
"3148","adult","F","uni","emp","big","car"
"3149","adult","F","uni","emp","big","car"
"3150","adult","F","uni","emp","small","other"
"3151","young","F","high","emp","big","train"
"3152","old","F","high","emp","small","car"
"3153","adult","M","high","emp","small","other"
"3154","young","M","high","emp","big","car"
"3155","old","F","high","emp","big","train"
"3156","young","M","high","emp","big","car"
"3157","adult","F","uni","emp","big","car"
"3158","adult","M","uni","emp","big","car"
"3159","old","F","high","emp","big","train"
"3160","young","F","high","emp","big","car"
"3161","adult","M","high","self","big","train"
"3162","old","M","high","emp","big","train"
"3163","young","M","high","emp","big","car"
"3164","old","F","high","emp","big","car"
"3165","adult","F","uni","emp","big","train"
"3166","young","M","high","emp","big","other"
"3167","old","F","high","emp","big","other"
"3168","young","F","high","emp","big","train"
"3169","young","F","high","emp","big","train"
"3170","young","F","uni","emp","small","car"
"3171","young","M","uni","emp","big","car"
"3172","adult","F","high","emp","big","car"
"3173","old","F","high","emp","big","other"
"3174","old","M","high","emp","big","train"
"3175","young","M","high","emp","big","train"
"3176","adult","M","high","emp","small","car"
"3177","adult","F","high","emp","big","car"
"3178","adult","M","uni","emp","big","train"
"3179","adult","M","high","emp","big","car"
"3180","adult","F","high","emp","big","car"
"3181","adult","F","uni","emp","small","car"
"3182","adult","F","uni","emp","big","car"
"3183","adult","M","uni","self","big","car"
"3184","adult","M","uni","emp","big","train"
"3185","adult","F","high","emp","big","other"
"3186","adult","M","high","emp","small","other"
"3187","adult","M","high","emp","big","train"
"3188","adult","F","high","emp","big","car"
"3189","young","M","high","emp","small","car"
"3190","old","M","high","emp","big","car"
"3191","old","M","high","emp","big","other"
"3192","adult","F","high","emp","big","other"
"3193","old","M","high","emp","big","car"
"3194","young","M","high","emp","big","car"
"3195","adult","M","high","emp","small","car"
"3196","old","F","high","emp","small","car"
"3197","adult","F","uni","emp","big","car"
"3198","old","F","high","self","big","car"
"3199","adult","M","high","emp","big","other"
"3200","old","F","high","emp","big","other"
"3201","adult","F","high","emp","big","car"
"3202","young","M","high","emp","small","train"
"3203","adult","F","high","emp","big","other"
"3204","young","M","high","emp","small","car"
"3205","young","F","high","emp","big","car"
"3206","adult","M","high","emp","big","car"
"3207","old","M","high","emp","big","car"
"3208","young","F","uni","emp","big","other"
"3209","adult","M","high","emp","big","car"
"3210","adult","M","high","emp","big","train"
"3211","adult","F","uni","emp","big","car"
"3212","adult","M","high","emp","small","train"
"3213","young","M","high","emp","small","train"
"3214","old","F","high","emp","big","other"
"3215","adult","F","uni","emp","big","other"
"3216","adult","F","high","emp","big","train"
"3217","young","M","uni","emp","big","car"
"3218","young","M","high","emp","big","train"
"3219","adult","F","high","emp","big","car"
"3220","young","M","uni","emp","big","car"
"3221","young","M","high","emp","big","train"
"3222","adult","M","high","emp","big","car"
"3223","adult","M","high","emp","big","train"
"3224","young","M","high","emp","big","train"
"3225","adult","F","high","emp","big","car"
"3226","young","F","high","emp","big","car"
"3227","young","M","high","emp","big","car"
"3228","adult","M","high","emp","big","train"
"3229","adult","M","high","emp","small","car"
"3230","adult","F","high","emp","big","train"
"3231","adult","M","uni","emp","big","car"
"3232","young","F","high","emp","big","train"
"3233","young","M","high","emp","big","car"
"3234","young","M","high","emp","big","car"
"3235","adult","F","high","emp","big","car"
"3236","young","M","high","emp","small","car"
