"","N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"2545","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Weak","Westerly","Strong","Weak","Strong","Some","LittleChange","LittleChange","Negative","LittleChange","XNIL","Jun15_Jul1","C","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","Average","ACEFK","PartInhibit","Moderate","Strong","C","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Average","ModerateOrLe","StrongFront","MoistMDryL","E_W_N","SigPositive","None","NWQuad","Westerly","LongAnticyc"
"2546","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Wet","Neutral","Dry","Neutral","PC","PC","PC","PC","Strong","Strong","StrongWest","Strong","Strong","Strong","Some","DecCapIncIns","Decreasing","Neutral","LittleChange","XNIL","Jul16_Aug10","I","CThruK","PartInhibit","Average","Average","ABI","N5GtLIGt_8","Instability","Average","Average","HI","None","Weak","Moderate","I","XNIL","XNIL","XNIL","LowAtStation","Stable","Average","CloseToDryAd","NoMajor","DryMMoistL","None","PosToNeg","Moving","AllElse","LVorOther","DenvCyclone"
"2547","Neutral","StronUp","Down","Neutral","Neutral","Neutral","Dry","Dry","Dry","PC","PC","PC","PC","None","None","Westerly","None","None","None","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug20_Sep15","J","CThruK","Stifling","Average","Average","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","GJ","PartInhibit","Weak","Slight","J","SIG","SIG","SIG","LowAtStation","ModerateOrLe","Average","CloseToDryAd","NoMajor","Other","DryLine","LittleChange","None","LV","LVorOther","LV"
"2548","Down","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Dry","Neutral","Clear","Clear","Clear","Clear","None","None","Westerly","None","None","Weak","None","DecCapIncIns","Decreasing","WeakPos","LittleChange","XNIL","May15_Jun14","K","CThruK","None","Average","LessThanAve","K","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","Stifling","Weak","None","K","XNIL","XNIL","XNIL","Other","CloseToDryAd","Dry","CloseToDryAd","StrongFront","DryMMoistL","None","NegToPos","None","AllElse","Westerly","LongAnticyc"
"2549","Down","Neutral","Neutral","Down","Down","Wet","Neutral","Wet","Neutral","Clear","PC","Clear","Clear","Strong","Strong","StrongWest","Strong","Weak","Strong","Marked","LittleChange","LittleChange","Neutral","Decreasing","SVR","Jun15_Jul1","H","CThruK","Stifling","Average","Average","H","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","Stifling","Weak","None","H","XNIL","XNIL","SVR","LowAtStation","Stable","Average","ModerateOrLe","MarkedUpper","Other","None","SigPositive","None","NWQuad","Westerly","E_NE"
"2550","WeakUp","Neutral","Down","WeakUp","WeakUp","Dry","Wet","VeryWet","VeryWet","PC","Clear","PC","PC","None","None","DCVZFavor","None","None","Weak","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug20_Sep15","A","AB","TotalInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","LessUnstable","Average","ACEFK","Stifling","Moderate","Moderate","A","SVR","SVR","SVR","HighEvrywher","Steep","Average","CloseToDryAd","MarkedUpper","Other","DryLine","NegToPos","Other","SWQuad","Westerly","DenvCyclone"
"2551","WeakUp","Down","Neutral","Neutral","Neutral","Dry","Wet","VeryWet","VeryWet","PC","PC","PC","Cloudy","None","None","Westerly","None","Weak","None","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","May15_Jun14","B","AB","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","Average","Average","B","TotalInhibit","Moderate","Slight","B","XNIL","XNIL","XNIL","LowSHighN","Stable","Dry","Steep","NoMajor","DryMMoistL","DenvCyclone","LittleChange","Other","LV","Westerly","DenvCyclone"
"2552","Neutral","Down","Neutral","Neutral","Neutral","Wet","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Weak","StrongWest","None","None","None","Some","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jul16_Aug10","I","CThruK","PartInhibit","Average","Average","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","TotalInhibit","Moderate","None","I","XNIL","XNIL","SIG","LowSHighN","Steep","Dry","Steep","NoMajor","DryMMoistL","E_W_S","LittleChange","Moving","LV","Westerly","DenvCyclone"
"2553","StrongUp","StronUp","StrongUp","StrongUp","StrongUp","Wet","Wet","Neutral","Wet","Clear","Cloudy","PC","Cloudy","Strong","Strong","Westerly","Strong","Strong","Strong","Some","LittleChange","LittleChange","Negative","Decreasing","SIG","May15_Jun14","B","AB","None","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","None","Moderate","Moderate","B","XNIL","XNIL","SIG","LowNHighS","ModerateOrLe","Dry","CloseToDryAd","NoMajor","DryMMoistL","DenvCyclone","LittleChange","Other","AllElse","Westerly","DenvCyclone"
"2554","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Dry","Cloudy","PC","Cloudy","Cloudy","Strong","Strong","Westerly","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Aug20_Sep15","B","AB","TotalInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","B","None","Weak","Strong","B","SVR","SVR","SVR","LowMtsHighPl","ModerateOrLe","Average","Steep","NoMajor","DryMMoistL","MovingFtorOt","LittleChange","Other","AllElse","Westerly","SEQuad"
"2555","WeakUp","StronUp","Neutral","WeakUp","WeakUp","Dry","Wet","VeryWet","Wet","Clear","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jul16_Aug10","J","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","GJ","Stifling","Moderate","Slight","J","SIG","SIG","SIG","LowEvrywhere","ModerateOrLe","Dry","Steep","NoMajor","DryMMoistL","None","LittleChange","Other","LV","LVorOther","LV"
"2556","Down","Down","WeakUp","Down","Down","VeryWet","Dry","Wet","Neutral","Clear","Clear","Clear","Clear","None","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Aug20_Sep15","E","CThruK","PartInhibit","LessThanAve","Average","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Strong","Moderate","E","SVR","SVR","SVR","LowNHighS","Steep","Average","ModerateOrLe","OtherRapid","MoistMDryL","None","PosToNeg","None","SWQuad","LVorOther","DenvCyclone"
"2557","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","PC","Cloudy","PC","PC","None","Weak","Other","None","None","None","None","LittleChange","LittleChange","StrongPos","Increasing","SIG","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","TotalInhibit","Strong","None","K","XNIL","XNIL","SIG","Other","ModerateOrLe","Dry","Steep","MarkedUpper","MoistMDryL","MovingFtorOt","PosToNeg","Moving","SWQuad","LVorOther","LongAnticyc"
"2558","WeakUp","WeakUp","Down","Down","Down","VeryWet","Wet","Neutral","Dry","PC","Cloudy","Cloudy","PC","Strong","Strong","StrongWest","Strong","Weak","Strong","Some","LittleChange","LittleChange","Negative","Decreasing","SVR","Jul2_Jul15","C","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","ACEFK","Stifling","Strong","None","C","XNIL","XNIL","SVR","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","OtherRapid","Other","E_W_S","SigNegative","Other","AllElse","Westerly","LongAnticyc"
"2559","WeakUp","Neutral","Neutral","WeakUp","WeakUp","Dry","Neutral","Neutral","Wet","Clear","Cloudy","PC","Clear","Strong","Strong","StrongWest","Weak","Strong","Weak","Marked","LittleChange","LittleChange","Negative","Decreasing","SIG","May15_Jun14","K","CThruK","PartInhibit","MoreThanAve","MoreThanAve","K","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Weak","Moderate","K","SIG","SIG","SIG","LowNHighS","Stable","VeryMoist","ModerateOrLe","StrongFront","Other","E_W_N","NegToPos","None","AllElse","Westerly","SEQuad"
"2560","Neutral","Down","WeakUp","Neutral","Neutral","VeryWet","Dry","VeryWet","VeryWet","Clear","Cloudy","PC","PC","Strong","Strong","Westerly","Weak","Weak","None","None","LittleChange","LittleChange","Negative","Decreasing","SIG","May15_Jun14","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Neutral","LessUnstable","LessUnstable","D","None","Unfavorable","None","D","SIG","SIG","SIG","LowEvrywhere","Steep","Dry","CloseToDryAd","OtherRapid","DryMMoistL","None","PosToNeg","None","NWQuad","Westerly","E_NE"
"2561","WeakUp","Down","Neutral","Neutral","Neutral","Dry","Neutral","Wet","Wet","PC","PC","Clear","Clear","Weak","Strong","Other","Weak","Weak","Strong","Marked","DecCapIncIns","Decreasing","StrongPos","Increasing","SIG","Jun15_Jul1","E","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N1GtLIGt_4","Instability","Average","MoreUnstable","ACEFK","PartInhibit","Weak","None","E","XNIL","XNIL","SIG","HighEvrywher","Steep","Average","Steep","OtherRapid","Other","None","LittleChange","None","SWQuad","LVorOther","SEQuad"
"2562","StrongUp","Down","Neutral","WeakUp","WeakUp","Dry","Neutral","Dry","Dry","PC","PC","PC","PC","Strong","Strong","DCVZFavor","Weak","Weak","Weak","Marked","DecCapIncIns","Decreasing","WeakPos","LittleChange","SIG","Aug20_Sep15","J","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","GJ","None","Moderate","Strong","J","SVR","SVR","SVR","LowSHighN","ModerateOrLe","Dry","Steep","NoMajor","DryMMoistL","DryLine","NegToPos","None","LV","LVorOther","LV"
"2563","Down","Neutral","StrongUp","Neutral","Neutral","VeryWet","VeryWet","VeryWet","VeryWet","Clear","PC","Clear","PC","Strong","Strong","Westerly","Weak","Weak","Weak","None","LittleChange","LittleChange","Neutral","LittleChange","SIG","Aug20_Sep15","D","CThruK","PartInhibit","Average","Average","CDEJ","LIGt0","Stability","LessUnstable","LessUnstable","D","PartInhibit","Moderate","Strong","D","SVR","SVR","SVR","LowAtStation","Steep","Dry","CloseToDryAd","StrongFront","DryMMoistL","DenvCyclone","SigNegative","None","SWQuad","Westerly","SEQuad"
"2564","WeakUp","WeakUp","Neutral","WeakUp","WeakUp","Neutral","Dry","Neutral","Neutral","PC","Cloudy","PC","PC","Weak","Strong","DCVZFavor","Strong","Strong","Strong","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Jun15_Jul1","C","CThruK","Stifling","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","TotalInhibit","Weak","None","C","SIG","SIG","SIG","LowAtStation","ModerateOrLe","Dry","Steep","MarkedUpper","MoistMDryL","E_W_S","SigPositive","None","NWQuad","LVorOther","LV"
"2565","WeakUp","StronUp","Neutral","WeakUp","WeakUp","Neutral","Neutral","Neutral","Wet","PC","PC","PC","PC","Weak","Strong","DCVZFavor","Weak","None","Strong","Marked","LittleChange","LittleChange","Negative","Decreasing","SVR","Jul16_Aug10","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","LessUnstable","D","Stifling","Moderate","None","D","XNIL","XNIL","SVR","LowAtStation","CloseToDryAd","VeryMoist","Steep","NoMajor","DryMMoistL","DryLine","NegToPos","Other","AllElse","Westerly","LongAnticyc"
"2566","StrongUp","Neutral","StrongUp","WeakUp","WeakUp","Neutral","Wet","VeryWet","Wet","PC","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","Neutral","Decreasing","XNIL","Jul16_Aug10","F","CThruK","None","LessThanAve","LessThanAve","F","N5GtLIGt_8","Stability","Average","Average","ACEFK","TotalInhibit","Moderate","None","F","XNIL","XNIL","XNIL","HighEvrywher","Steep","VeryMoist","ModerateOrLe","NoMajor","Other","Other","LittleChange","None","AllElse","LVorOther","E_NE"
"2567","WeakUp","Neutral","WeakUp","WeakUp","WeakUp","VeryWet","Dry","Dry","Dry","PC","Clear","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Weak","Marked","LittleChange","LittleChange","StrongPos","Increasing","SIG","Jul2_Jul15","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N1GtLIGt_4","Neutral","Average","Average","ACEFK","PartInhibit","Moderate","Strong","K","XNIL","XNIL","SIG","Other","ModerateOrLe","VeryMoist","Steep","MarkedUpper","Other","DryLine","NegToPos","None","NWQuad","LVorOther","DenvCyclone"
"2568","WeakUp","Neutral","StrongUp","WeakUp","WeakUp","Neutral","Neutral","Neutral","Neutral","Clear","Cloudy","Clear","Clear","Weak","Strong","Other","None","None","None","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","LIGt0","Instability","Average","Average","ACEFK","Stifling","Weak","None","K","XNIL","XNIL","XNIL","Other","Steep","Average","Steep","OtherRapid","DryMMoistL","E_W_N","SigPositive","Other","AllElse","Westerly","WidespdDnsl"
"2569","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Wet","Neutral","Neutral","Clear","PC","PC","Cloudy","Strong","Strong","Other","None","None","None","Some","IncCapDecIns","Increasing","Neutral","Increasing","SIG","Jul16_Aug10","B","AB","PartInhibit","Average","MoreThanAve","ABI","LIGt0","Instability","LessUnstable","MoreUnstable","B","PartInhibit","Moderate","None","B","XNIL","XNIL","SIG","LowSHighN","CloseToDryAd","VeryMoist","CloseToDryAd","MarkedUpper","DryMMoistL","DenvCyclone","LittleChange","Moving","AllElse","LVorOther","DenvCyclone"
"2570","Down","Down","Down","Down","Down","Neutral","Dry","Neutral","Neutral","PC","PC","PC","PC","Strong","Strong","StrongWest","Strong","None","Strong","Marked","IncCapDecIns","Increasing","StrongPos","Increasing","SVR","Jul2_Jul15","J","CThruK","PartInhibit","LessThanAve","MoreThanAve","CDEJ","LILt_8","Instability","MoreUnstable","MoreUnstable","GJ","None","Strong","Strong","J","SVR","SVR","SVR","LowMtsHighPl","Steep","Average","ModerateOrLe","NoMajor","Other","E_W_N","LittleChange","None","LV","LVorOther","LV"
"2571","Neutral","Neutral","StrongUp","Neutral","Neutral","VeryWet","Neutral","VeryWet","VeryWet","Cloudy","Clear","Cloudy","Cloudy","Strong","Strong","Other","Weak","Strong","Weak","None","IncCapDecIns","Increasing","Negative","LittleChange","SVR","Aug20_Sep15","K","CThruK","PartInhibit","LessThanAve","Average","K","N1GtLIGt_4","Stability","Average","MoreUnstable","ACEFK","None","Weak","Moderate","K","XNIL","XNIL","SVR","LowMtsHighPl","ModerateOrLe","Dry","Steep","MarkedUpper","DryMMoistL","MovingFtorOt","NegToPos","None","AllElse","LVorOther","E_NE"
"2572","StrongUp","Down","Neutral","Neutral","Neutral","Dry","VeryWet","Neutral","Neutral","PC","PC","PC","Clear","Weak","Strong","Other","Weak","Weak","Weak","Some","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul16_Aug10","H","CThruK","None","LessThanAve","MoreThanAve","H","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","HI","None","Moderate","Moderate","H","XNIL","XNIL","SIG","LowSHighN","Stable","Average","Steep","MarkedUpper","DryMMoistL","E_W_S","SigPositive","Moving","NWQuad","LVorOther","E_NE"
"2573","StrongUp","Neutral","Neutral","StrongUp","StrongUp","Neutral","Neutral","Neutral","VeryWet","Clear","PC","Clear","PC","Weak","Strong","StrongWest","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","StrongPos","Increasing","SVR","Aug20_Sep15","G","CThruK","TotalInhibit","MoreThanAve","LessThanAve","G","LIGt0","Instability","LessUnstable","LessUnstable","GJ","PartInhibit","Strong","Strong","G","SVR","SVR","SVR","Other","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DenvCyclone","LittleChange","None","NWQuad","LVorOther","LongAnticyc"
"2574","Neutral","StronUp","Neutral","WeakUp","WeakUp","Neutral","Neutral","Dry","Dry","Clear","Cloudy","Clear","Clear","Strong","Strong","StrongWest","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","WeakPos","Decreasing","SIG","Aug20_Sep15","A","AB","Stifling","Average","LessThanAve","ABI","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","ACEFK","Stifling","Moderate","None","A","SVR","SVR","SVR","LowMtsHighPl","Stable","VeryMoist","CloseToDryAd","OtherRapid","Other","E_W_S","PosToNeg","None","SWQuad","Westerly","DenvCyclone"
"2575","Down","Neutral","Neutral","Neutral","Neutral","Dry","VeryWet","Neutral","Wet","Cloudy","Clear","Cloudy","Cloudy","None","None","DCVZFavor","None","Strong","Strong","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Jul2_Jul15","I","CThruK","PartInhibit","Average","Average","ABI","N5GtLIGt_8","Neutral","LessUnstable","LessUnstable","HI","Stifling","Weak","None","I","XNIL","XNIL","XNIL","Other","Steep","Dry","Steep","OtherRapid","Other","E_W_S","NegToPos","QStationary","AllElse","Westerly","LV"
"2576","StrongUp","Neutral","Neutral","WeakUp","WeakUp","Dry","Wet","Wet","Wet","Clear","Clear","Clear","Clear","Weak","Strong","StrongWest","Strong","None","Strong","Marked","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Aug11_Aug20","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","None","Weak","Moderate","K","XNIL","XNIL","XNIL","Other","Stable","Average","Steep","OtherRapid","MoistMDryL","None","NegToPos","Other","AllElse","Westerly","SEQuad"
"2577","Down","WeakUp","Neutral","Down","Down","Neutral","VeryWet","Dry","Dry","PC","Clear","PC","PC","None","None","Westerly","None","Weak","None","None","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Jul16_Aug10","J","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","LIGt0","Neutral","LessUnstable","MoreUnstable","GJ","Stifling","Strong","Moderate","J","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","E_W_N","LittleChange","Other","LV","LVorOther","LV"
"2578","Neutral","Neutral","WeakUp","Neutral","Neutral","Neutral","VeryWet","Neutral","Neutral","PC","PC","PC","PC","None","Weak","Westerly","Weak","Weak","Weak","None","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Aug20_Sep15","C","CThruK","Stifling","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","Average","Average","ACEFK","None","Unfavorable","None","C","SIG","SIG","SIG","LowNHighS","ModerateOrLe","Average","Steep","OtherRapid","MoistMDryL","E_W_N","SigPositive","None","SWQuad","Westerly","WidespdDnsl"
"2579","Neutral","Down","Neutral","Down","Down","Neutral","VeryWet","VeryWet","Wet","Clear","PC","Clear","Clear","Weak","Strong","StrongWest","Strong","Strong","Strong","Some","LittleChange","LittleChange","WeakPos","LittleChange","SVR","Jul16_Aug10","B","AB","None","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","B","None","Weak","Slight","B","SIG","SIG","SVR","HighEvrywher","ModerateOrLe","Average","Steep","OtherRapid","DryMMoistL","MovingFtorOt","PosToNeg","QStationary","SWQuad","LVorOther","DenvCyclone"
"2580","Neutral","WeakUp","StrongUp","Neutral","Neutral","Dry","Neutral","Neutral","Neutral","Cloudy","Cloudy","Cloudy","Cloudy","Strong","Strong","Other","Weak","None","Weak","None","DecCapIncIns","Decreasing","WeakPos","LittleChange","SIG","Jun15_Jul1","J","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","GJ","Stifling","Strong","Moderate","J","XNIL","XNIL","SIG","LowMtsHighPl","ModerateOrLe","Average","Steep","NoMajor","DryMMoistL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"2581","WeakUp","Neutral","StrongUp","WeakUp","WeakUp","VeryWet","Neutral","Wet","Wet","PC","Cloudy","PC","PC","Weak","Weak","StrongWest","None","Strong","Weak","Some","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","May15_Jun14","B","AB","PartInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","B","Stifling","Weak","None","B","SIG","SIG","SIG","LowNHighS","Steep","Dry","Steep","NoMajor","MoistMDryL","DenvCyclone","PosToNeg","Other","SWQuad","Westerly","LV"
"2582","Down","Down","StrongUp","Down","Down","Wet","Neutral","Neutral","Neutral","Clear","Cloudy","Clear","PC","Strong","Strong","Westerly","Strong","None","Strong","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SIG","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","LILt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Weak","Slight","K","SVR","SVR","SVR","Other","CloseToDryAd","Dry","Steep","NoMajor","DryMMoistL","Other","NegToPos","Other","NWQuad","LVorOther","WidespdDnsl"
"2583","Down","Neutral","Neutral","Down","Down","VeryWet","Neutral","VeryWet","Neutral","Clear","PC","PC","Clear","Weak","Strong","Other","None","None","None","Some","IncCapDecIns","Increasing","Negative","LittleChange","SIG","May15_Jun14","D","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","LIGt0","Stability","MoreUnstable","MoreUnstable","D","None","Moderate","Moderate","D","SVR","SVR","SVR","LowNHighS","Stable","Dry","CloseToDryAd","MarkedUpper","DryMMoistL","DryLine","PosToNeg","Moving","SWQuad","Westerly","DenvCyclone"
"2584","Neutral","Neutral","WeakUp","WeakUp","WeakUp","Neutral","Dry","Neutral","Neutral","PC","PC","Cloudy","Cloudy","None","None","Other","None","Weak","Weak","None","DecCapIncIns","Decreasing","Neutral","LittleChange","XNIL","May15_Jun14","H","CThruK","Stifling","Average","LessThanAve","H","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","PartInhibit","Weak","None","H","XNIL","XNIL","XNIL","LowMtsHighPl","Stable","Average","Steep","MarkedUpper","Other","None","SigPositive","QStationary","NWQuad","LVorOther","LV"
"2585","StrongUp","Down","Neutral","Neutral","Neutral","Dry","Neutral","Dry","Dry","Clear","Clear","Clear","Clear","Strong","Strong","DCVZFavor","Weak","None","Weak","Marked","DecCapIncIns","Decreasing","WeakPos","Increasing","SVR","Jul2_Jul15","G","CThruK","Stifling","Average","LessThanAve","G","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","GJ","None","Weak","Strong","G","SIG","SIG","SVR","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","DryLine","LittleChange","None","LV","Westerly","SEQuad"
"2586","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","VeryWet","Wet","Wet","Clear","Cloudy","PC","PC","Weak","Strong","StrongWest","Strong","Strong","Strong","Some","LittleChange","LittleChange","Neutral","LittleChange","SIG","May15_Jun14","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","LIGt0","Stability","LessUnstable","LessUnstable","D","Stifling","Moderate","Slight","D","SIG","SIG","SIG","LowSHighN","ModerateOrLe","Dry","Steep","OtherRapid","Other","None","SigPositive","Moving","NWQuad","Westerly","LongAnticyc"
"2587","WeakUp","Neutral","StrongUp","WeakUp","WeakUp","Wet","Wet","Wet","Wet","PC","PC","Cloudy","Cloudy","None","None","StrongWest","None","Weak","Strong","None","IncCapDecIns","Increasing","WeakPos","Increasing","XNIL","Jul2_Jul15","D","CThruK","None","Average","MoreThanAve","CDEJ","LIGt0","Stability","LessUnstable","MoreUnstable","D","None","Weak","Slight","D","SIG","SIG","SIG","LowMtsHighPl","Steep","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","None","PosToNeg","None","NWQuad","LVorOther","DenvCyclone"
"2588","Neutral","Neutral","WeakUp","Neutral","Neutral","Dry","Wet","VeryWet","Wet","Clear","PC","PC","PC","Strong","Strong","Other","None","None","None","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SIG","Jun15_Jul1","H","CThruK","Stifling","MoreThanAve","MoreThanAve","H","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","None","Weak","Moderate","H","SIG","SIG","SIG","HighEvrywher","Stable","Average","Steep","NoMajor","Other","Other","SigNegative","None","LV","Westerly","E_NE"
"2589","Down","Neutral","Down","Neutral","Neutral","VeryWet","VeryWet","VeryWet","Wet","PC","PC","Cloudy","PC","Strong","Strong","Westerly","Strong","Weak","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","May15_Jun14","H","CThruK","PartInhibit","LessThanAve","LessThanAve","H","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","HI","PartInhibit","Weak","Slight","H","XNIL","XNIL","SIG","LowMtsHighPl","Stable","Average","Steep","MarkedUpper","Other","None","SigNegative","None","NWQuad","LVorOther","E_NE"
"2590","Down","WeakUp","StrongUp","WeakUp","WeakUp","Neutral","Dry","Dry","Dry","Clear","Clear","Clear","Clear","Strong","Strong","StrongWest","Weak","None","Weak","Marked","LittleChange","LittleChange","WeakPos","Increasing","SVR","Jul16_Aug10","E","CThruK","Stifling","Average","Average","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Weak","None","E","SVR","SVR","SVR","LowSHighN","CloseToDryAd","Average","Steep","NoMajor","Other","DryLine","PosToNeg","None","SWQuad","Westerly","E_NE"
"2591","WeakUp","Neutral","StrongUp","Neutral","Neutral","Neutral","Neutral","Neutral","Wet","PC","PC","PC","Clear","Weak","Strong","DCVZFavor","Strong","Strong","Strong","Marked","DecCapIncIns","Decreasing","Neutral","LittleChange","XNIL","Aug11_Aug20","B","AB","Stifling","Average","Average","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","PartInhibit","Moderate","Slight","B","SIG","XNIL","XNIL","LowMtsHighPl","Stable","Average","Steep","NoMajor","Other","None","LittleChange","Other","NWQuad","LVorOther","DenvCyclone"
